fips,m_w_ins,m_wo_ins,f_w_ins,f_wo_ins,all_w_ins,all_wo_ins
16013,8753,2073,9000,1457,17753,3530
16015,3004,611,2874,368,5878,979
16017,16871,3473,17198,3180,34069,6653
16019,45074,7432,47260,6823,92334,14255
16021,4380,1173,3939,1397,8319,2570
16023,1191,221,978,226,2169,447
16025,421,117,386,128,807,245
16027,79546,18096,82935,16843,162481,34939
16029,3102,281,3077,258,6179,539
16031,9384,2297,9055,2252,18439,4549
16033,231,209,329,132,560,341
16035,3224,522,3185,591,6409,1113
16037,1931,206,1642,423,3573,629
16039,9973,1643,10638,1656,20611,3299
16041,5577,947,5343,1001,10920,1948
16043,5200,902,5250,990,10450,1892
16045,6654,1658,6630,1648,13284,3306
16047,5885,1938,5746,1581,11631,3519
16049,6967,1125,6473,1223,13440,2348
16051,11265,2219,11699,1550,22964,3769
16053,8327,3044,8345,2816,16672,5860
